region,price,year,cylinders,fuel,odometer,title_status,transmission,drive,lat,long
el paso,21995,2015.0,6,1,102598.0,1,1,1,33.623814,-112.010345
el paso,29995,2018.0,5,2,72951.0,1,1,1,33.623671,-112.010536
el paso,23995,2015.0,6,1,90547.0,1,1,1,33.623814,-112.010536
el paso,26995,2019.0,6,1,30703.0,1,1,1,33.623528,-112.009506
el paso,16995,2015.0,6,1,80384.0,1,1,1,33.623957,-112.00985
el paso,17995,2016.0,6,1,81037.0,1,1,1,33.623242,-112.00985
san antonio,24900,2017.0,6,1,102200.0,1,1,1,30.3314,-97.8666
salt lake city,60000,2016.0,6,1,57000.0,1,1,1,40.7559,-111.8967
vermont,32995,2017.0,6,1,104223.0,1,1,1,44.536,-73.2022
charlottesville,32495,2019.0,6,3,18873.0,1,1,1,38.762669,-77.461754
charlottesville,31995,2019.0,6,3,22053.0,1,1,1,38.762669,-77.461754
charlottesville,26495,2016.0,6,1,66264.0,1,1,1,38.762669,-77.461754
fredericksburg,32488,2019.0,6,1,24017.0,1,1,1,38.9148,-77.47262
fredericksburg,33998,2019.0,6,1,18672.0,1,1,1,38.9148,-77.47262
winchester,25795,2017.0,6,3,124335.0,1,1,1,38.762669,-77.461754
winchester,17795,2015.0,6,1,145380.0,1,1,1,38.762669,-77.461754
winchester,31995,2019.0,6,3,22053.0,1,1,1,38.762669,-77.461754
winchester,19995,2017.0,6,3,142370.0,1,1,1,38.762669,-77.461754
winchester,26495,2016.0,6,1,61143.0,1,1,1,38.762669,-77.461754
winchester,31795,2019.0,6,3,18983.0,1,1,1,38.762669,-77.461754
winchester,17795,2015.0,6,1,145380.0,1,1,1,38.762669,-77.461754
winchester,18995,2015.0,6,1,125487.0,1,1,1,38.762669,-77.461754
winchester,32495,2019.0,6,3,18873.0,1,1,1,38.762669,-77.461754
winchester,31995,2019.0,6,3,22053.0,1,1,1,38.762669,-77.461754
charleston,31900,2019.0,6,1,29497.0,1,1,1,36.4641,-86.65828
charleston,32900,2019.0,6,1,6735.0,1,1,1,36.4641,-86.65828
eau claire,24972,2015.0,6,1,70280.0,2,1,1,44.408989,-89.88121
green bay,24972,2015.0,6,1,70280.0,2,1,1,44.408867,-89.88121
kenosha-racine,18000,2016.0,6,1,194177.0,1,1,1,42.6058,-87.8762
la crosse,37995,2020.0,6,1,32000.0,1,1,1,42.018791,-91.632453
